  0.281332E+01  0.119066E+01  0.293851E+00  0.383989E-01  0.100000E+03  0.187000E+01  0.413000E+01  0.100000E+01  0.346000E+01
  0.282496E+01  0.119091E+01  0.293849E+00  0.383988E-01  0.100000E+03  0.187172E+01  0.412971E+01  0.999990E+00  0.346000E+01
  0.283647E+01  0.119116E+01  0.293848E+00  0.383986E-01  0.100000E+03  0.187344E+01  0.412943E+01  0.999981E+00  0.346000E+01
  0.285910E+01  0.119165E+01  0.293845E+00  0.383984E-01  0.100000E+03  0.187684E+01  0.412887E+01  0.999962E+00  0.346000E+01
  0.290288E+01  0.119260E+01  0.293839E+00  0.383980E-01  0.100000E+03  0.188347E+01  0.412778E+01  0.999925E+00  0.346000E+01
  0.298508E+01  0.119440E+01  0.293829E+00  0.383973E-01  0.100000E+03  0.189617E+01  0.412574E+01  0.999856E+00  0.346000E+01
  0.313164E+01  0.119766E+01  0.293810E+00  0.383959E-01  0.100000E+03  0.191962E+01  0.412210E+01  0.999733E+00  0.346001E+01
  0.337286E+01  0.120316E+01  0.293780E+00  0.383936E-01  0.100000E+03  0.196060E+01  0.411605E+01  0.999527E+00  0.346001E+01
  0.372938E+01  0.121152E+01  0.293733E+00  0.383901E-01  0.100000E+03  0.202669E+01  0.410695E+01  0.999215E+00  0.346002E+01
  0.419386E+01  0.122261E+01  0.293671E+00  0.383854E-01  0.100000E+03  0.212228E+01  0.409479E+01  0.998793E+00  0.346003E+01
  0.472039E+01  0.123501E+01  0.293599E+00  0.383798E-01  0.100000E+03  0.224184E+01  0.408060E+01  0.998297E+00  0.346004E+01
  0.522800E+01  0.124629E+01  0.293528E+00  0.383742E-01  0.100000E+03  0.236565E+01  0.406661E+01  0.997803E+00  0.346005E+01
  0.562355E+01  0.125437E+01  0.293471E+00  0.383697E-01  0.100000E+03  0.246606E+01  0.405556E+01  0.997410E+00  0.346006E+01
  0.585079E+01  0.125867E+01  0.293438E+00  0.383670E-01  0.100000E+03  0.252477E+01  0.404914E+01  0.997180E+00  0.346006E+01
  0.593540E+01  0.126020E+01  0.293426E+00  0.383660E-01  0.100000E+03  0.254676E+01  0.404671E+01  0.997093E+00  0.346006E+01
  0.595332E+01  0.126052E+01  0.293423E+00  0.383657E-01  0.100000E+03  0.255141E+01  0.404615E+01  0.997071E+00  0.346006E+01
  0.595534E+01  0.126056E+01  0.293423E+00  0.383655E-01  0.100000E+03  0.255189E+01  0.404599E+01  0.997064E+00  0.346005E+01
  0.595553E+01  0.126055E+01  0.293422E+00  0.383651E-01  0.100000E+03  0.255186E+01  0.404577E+01  0.997052E+00  0.346004E+01
  0.595570E+01  0.126055E+01  0.293421E+00  0.383644E-01  0.100000E+03  0.255172E+01  0.404534E+01  0.997030E+00  0.346001E+01
  0.595602E+01  0.126054E+01  0.293419E+00  0.383630E-01  0.100000E+03  0.255146E+01  0.404449E+01  0.996985E+00  0.345996E+01
  0.595668E+01  0.126052E+01  0.293414E+00  0.383601E-01  0.100000E+03  0.255093E+01  0.404278E+01  0.996896E+00  0.345984E+01
  0.595797E+01  0.126049E+01  0.293405E+00  0.383544E-01  0.100000E+03  0.254988E+01  0.403941E+01  0.996719E+00  0.345963E+01
  0.596052E+01  0.126042E+01  0.293387E+00  0.383427E-01  0.100000E+03  0.254781E+01  0.403277E+01  0.996370E+00  0.345920E+01
  0.596546E+01  0.126029E+01  0.293353E+00  0.383187E-01  0.100000E+03  0.254383E+01  0.401996E+01  0.995692E+00  0.345840E+01
  0.597477E+01  0.126008E+01  0.293290E+00  0.382683E-01  0.100000E+03  0.253641E+01  0.399602E+01  0.994412E+00  0.345698E+01
  0.599125E+01  0.125979E+01  0.293182E+00  0.381593E-01  0.100000E+03  0.252351E+01  0.395419E+01  0.992130E+00  0.345481E+01
  0.601718E+01  0.125963E+01  0.293023E+00  0.379149E-01  0.100000E+03  0.250381E+01  0.388959E+01  0.988465E+00  0.345258E+01
  0.604981E+01  0.126034E+01  0.292856E+00  0.373613E-01  0.100001E+03  0.247987E+01  0.380891E+01  0.983517E+00  0.345357E+01
